Doctor_Salary,Doctor_name,Doctor_no,Mobile,_id
8000,AA,1,+18136784097,636d4c72a3bbd40beb53d80a
8500,cc,3,+18136784098,636d4dcfa3bbd40beb53d80c
7000,BB,2,+18136784099,636d4d96a3bbd40beb53d80b
9000,DD,4,+18136784091,636d4f59a3bbd40beb53d80e
7700,EE,5,+18136784092,636d4fb2a3bbd40beb53d80f
10000,FF,6,+18136784093,636d5080a3bbd40beb53d810
7500,GG,7,+18136784094,636d50d4a3bbd40beb53d811
9300,HH,8,+18136784095,636d5108a3bbd40beb53d812
10500,II,9,+18136784096,636d5134a3bbd40beb53d813
11000,JJ,10,+18136784084,636d5278a3bbd40beb53d814
